route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000064,OCESN12258F3517589:2025-01-26T00:39:26Z,12258,0,75,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000065,OCESN12258F3810045:2025-01-22T00:42:25Z,12258,0,76,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000066,OCESN12258F3828025:2025-01-21T00:39:14Z,12258,0,77,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000067,OCESN12258F3830442:2025-01-21T00:39:14Z,12258,0,78,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000068,OCESN12258F3830443:2025-01-25T00:39:51Z,12258,0,79,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000069,OCESN12258F3830444:2025-01-25T00:39:51Z,12258,0,80,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000020,OCESN12259F3828555:2025-01-21T00:39:14Z,12259,1,81,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000070,OCESN12259F3828556:2025-01-21T00:39:14Z,12259,1,82,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000034,OCESN12259F3830657:2025-01-25T00:39:51Z,12259,1,83,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000071,OCESN12259F3830658:2025-01-25T00:39:51Z,12259,1,84,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000072,OCESN12259F3831997:2025-01-25T00:39:51Z,12259,1,85,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000024,OCESN12259F3836912:2025-01-25T00:39:51Z,12259,1,86,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000073,OCESN12259F3844230:2025-01-28T00:48:51Z,12259,1,87,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000074,OCESN12259F3844231:2025-01-25T00:39:51Z,12259,1,88,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000075,OCESN12259F3846428:2025-01-25T00:39:51Z,12259,1,89,
